* Measurement data measured by REW V5.20.13
* Source: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 20.08.2023 14:12:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: realme Air 5 Harpo Custom
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
975.000000	104.389	33.4758
988.000000	104.435	36.6036
1000.000000	104.480	39.4721
1015.000000	104.542	43.0082
1030.000000	104.611	46.4749
1044.000000	104.679	49.6641
1060.000000	104.757	53.2753
1075.000000	104.830	56.6314
1090.000000	104.905	59.9510
1106.000000	104.990	63.4434
1120.000000	105.067	66.4568
1138.000000	105.169	70.2770
1150.000000	105.237	72.7947
1172.000000	105.360	77.3560
1180.000000	105.405	78.9952
1206.000000	105.550	84.2483
1220.000000	105.626	87.0342
1241.000000	105.739	91.1724
1250.000000	105.787	92.9362
1265.000000	105.868	95.8629
1280.000000	105.948	98.7679
1315.000000	106.134	105.4511
1320.000000	106.161	106.3979
1340.000000	106.267	110.1748
1360.000000	106.372	113.9335
1380.000000	106.475	117.6646
1400.000000	106.580	121.3674
1430.000000	106.740	126.8772
1450.000000	106.847	130.5120
1475.000000	106.982	135.0116
1500.000000	107.117	139.4795
1525.000000	107.254	143.9283
1550.000000	107.392	148.3553
1575.000000	107.535	152.7574
1600.000000	107.683	157.1330
1625.000000	107.840	161.4666
1650.000000	108.012	165.6701
1675.000000	108.200	169.5487
1700.000000	108.397	172.9068
1725.000000	108.600	175.6661
1750.000000	108.809	177.9054
1775.000000	109.015	179.7983
1800.000000	109.209	-178.5113
1825.000000	109.390	-176.9427
1850.000000	109.559	-175.4531
1875.000000	109.719	-174.0254
1900.000000	109.874	-172.6608
1925.000000	110.024	-171.3672
1950.000000	110.169	-170.1510
1975.000000	110.309	-169.0135
2000.000000	110.443	-167.9547
2030.000000	110.595	-166.7920
2060.000000	110.735	-165.7476
2090.000000	110.862	-164.8097
2120.000000	110.971	-163.9578
2140.000000	111.035	-163.4286
2180.000000	111.140	-162.4474
2200.000000	111.181	-161.9902
2240.000000	111.244	-161.1357
2270.000000	111.271	-160.5369
2300.000000	111.278	-159.9495
2330.000000	111.264	-159.3348
2360.000000	111.229	-158.6413
2400.000000	111.161	-157.4998
2430.000000	111.107	-156.4242
2470.000000	111.062	-154.6836
2500.000000	111.072	-153.2312
2540.000000	111.162	-151.3705
2580.000000	111.323	-149.9658
2620.000000	111.494	-149.2421
2650.000000	111.593	-149.0949
2690.000000	111.663	-149.1905
2720.000000	111.669	-149.3163
2760.000000	111.630	-149.3945
2800.000000	111.558	-149.2987
2850.000000	111.449	-148.9601
2900.000000	111.336	-148.4724
2950.000000	111.222	-147.9009
3000.000000	111.110	-147.2604
3040.000000	111.023	-146.7067
3070.000000	110.961	-146.2757
3110.000000	110.883	-145.6913
3150.000000	110.811	-145.1085
3200.000000	110.730	-144.4020
3250.000000	110.658	-143.7296
3300.000000	110.594	-143.0940
3350.000000	110.540	-142.5093
3400.000000	110.495	-141.9944
3450.000000	110.459	-141.5626
3500.000000	110.428	-141.2205
3550.000000	110.402	-140.9749
3600.000000	110.377	-140.8303
3650.000000	110.351	-140.7807
3700.000000	110.323	-140.8094
3750.000000	110.294	-140.8981
3820.000000	110.255	-141.1111
3870.000000	110.231	-141.3329
3950.000000	110.203	-141.8414
4000.000000	110.190	-142.2756
4060.000000	110.176	-142.9298
4120.000000	110.162	-143.7310
4180.000000	110.145	-144.6704
4250.000000	110.118	-145.9308
4310.000000	110.087	-147.1429
4370.000000	110.046	-148.4571
4440.000000	109.983	-150.0856
4500.000000	109.918	-151.5402
4550.000000	109.858	-152.7810
4620.000000	109.769	-154.5450
4680.000000	109.689	-156.0710
4750.000000	109.595	-157.8599
4820.000000	109.506	-159.6582
4870.000000	109.448	-160.9561
4940.000000	109.379	-162.8114
5000.000000	109.335	-164.4585
5080.000000	109.298	-166.7803
5150.000000	109.287	-168.9799
5220.000000	109.291	-171.3851
5300.000000	109.305	-174.4134
5380.000000	109.324	-177.7048
5450.000000	109.354	179.1903
5520.000000	109.395	175.7104
5600.000000	109.416	171.1356
5700.000000	109.339	164.8056
5800.000000	109.135	158.2996
5900.000000	108.823	152.0163
6000.000000	108.449	146.1744
6080.000000	108.141	141.7472
6150.000000	107.868	137.9621
6220.000000	107.585	134.2760
6300.000000	107.255	130.2445
6400.000000	106.850	125.4974
6500.000000	106.475	121.0100
6600.000000	106.143	116.6860
6700.000000	105.862	112.4284
6800.000000	105.635	108.1579
6900.000000	105.461	103.8148
7000.000000	105.337	99.3517
7100.000000	105.259	94.7446
7200.000000	105.230	89.9984
7300.000000	105.258	85.1194
7400.000000	105.358	80.0756
7500.000000	105.552	74.7683
7620.000000	105.931	67.7755
7750.000000	106.513	58.8892
7880.000000	107.214	47.9395
8000.000000	107.864	35.3891
8120.000000	108.376	20.0944
8250.000000	108.590	0.6331
8380.000000	108.290	-20.4198
8500.000000	107.506	-39.2216
8620.000000	106.296	-55.7316
8750.000000	104.658	-70.2471
8850.000000	103.290	-79.1702
9000.000000	101.253	-89.7467
9120.000000	99.753	-96.5388
9250.000000	98.330	-102.8928
9380.000000	97.141	-108.6915
9500.000000	96.250	-113.8817
9620.000000	95.540	-119.1622
9750.000000	94.940	-125.1971
9880.000000	94.471	-131.7115
10000.000000	94.108	-138.2024
10150.000000	93.685	-146.8418
10300.000000	93.242	-155.6440
10440.000000	92.806	-163.4655
10600.000000	92.356	-171.4783
10750.000000	92.105	-178.1389
10900.000000	92.126	175.5136
11060.000000	92.475	168.3569
11200.000000	93.012	161.3112
11380.000000	93.926	150.8397
11500.000000	94.634	142.9202
11720.000000	96.076	126.5187
11800.000000	96.640	119.9697
12060.000000	98.601	96.4904
12200.000000	99.720	82.3420
12410.000000	101.416	58.8299
12500.000000	102.123	47.8130
12650.000000	103.232	28.0873
12800.000000	104.202	6.6452
13150.000000	105.676	-48.5833
13200.000000	105.785	-56.7875
13400.000000	105.985	-89.4691
13600.000000	105.886	-121.0809
13800.000000	105.625	-151.0631
14000.000000	105.342	-179.5002
14300.000000	105.106	139.7662
14500.000000	105.172	113.1521
14750.000000	105.573	79.6214
15000.000000	106.340	44.8654
15250.000000	107.420	7.7302
15500.000000	108.648	-33.2328
15750.000000	109.730	-79.4481
16000.000000	110.321	-131.1543
16250.000000	110.164	173.8005
16500.000000	109.186	119.2756
16750.000000	107.505	68.3732
17000.000000	105.325	22.1443
17250.000000	102.846	-19.6451
17500.000000	100.231	-57.5245
17750.000000	97.631	-92.0958
18000.000000	95.220	-124.2219
18250.000000	93.204	-155.1062
18500.000000	91.750	173.9473
18750.000000	90.879	141.8989
19000.000000	90.461	108.2797
19250.000000	90.311	73.5471
19500.000000	90.272	39.7389
19750.000000	90.257	11.1978
