* Measurement data measured by REW V5.30 beta 4
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 17.12.2023 18:47:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Aria 2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1380.000000	73.758	-147.3323
1400.000000	73.897	-147.2185
1430.000000	74.100	-147.0863
1450.000000	74.232	-147.0160
1475.000000	74.394	-146.9389
1500.000000	74.554	-146.8733
1525.000000	74.711	-146.8204
1550.000000	74.866	-146.7813
1575.000000	75.020	-146.7565
1600.000000	75.173	-146.7453
1625.000000	75.326	-146.7461
1650.000000	75.478	-146.7593
1675.000000	75.629	-146.7890
1700.000000	75.780	-146.8332
1725.000000	75.929	-146.8888
1750.000000	76.079	-146.9594
1775.000000	76.229	-147.0493
1800.000000	76.379	-147.1588
1825.000000	76.529	-147.2883
1850.000000	76.679	-147.4409
1875.000000	76.829	-147.6188
1900.000000	76.979	-147.8229
1925.000000	77.128	-148.0550
1950.000000	77.276	-148.3190
1975.000000	77.423	-148.6165
2000.000000	77.568	-148.9463
2030.000000	77.740	-149.3827
2060.000000	77.908	-149.8620
2090.000000	78.072	-150.3838
2120.000000	78.232	-150.9499
2140.000000	78.336	-151.3525
2180.000000	78.537	-152.2148
2200.000000	78.633	-152.6731
2240.000000	78.818	-153.6439
2270.000000	78.948	-154.4176
2300.000000	79.070	-155.2256
2330.000000	79.183	-156.0641
2360.000000	79.288	-156.9293
2400.000000	79.413	-158.1146
2430.000000	79.495	-159.0193
2470.000000	79.591	-160.2393
2500.000000	79.651	-161.1569
2540.000000	79.717	-162.3716
2580.000000	79.768	-163.5715
2620.000000	79.803	-164.7504
2650.000000	79.819	-165.6117
2690.000000	79.828	-166.7169
2720.000000	79.827	-167.5101
2760.000000	79.815	-168.5204
2800.000000	79.795	-169.4760
2850.000000	79.756	-170.5856
2900.000000	79.705	-171.5884
2950.000000	79.647	-172.4838
3000.000000	79.585	-173.2811
3040.000000	79.533	-173.8554
3070.000000	79.494	-174.2522
3110.000000	79.441	-174.7382
3150.000000	79.388	-175.1761
3200.000000	79.321	-175.6576
3250.000000	79.257	-176.0687
3300.000000	79.198	-176.4188
3350.000000	79.145	-176.7236
3400.000000	79.099	-177.0010
3450.000000	79.059	-177.2610
3500.000000	79.025	-177.5054
3550.000000	78.998	-177.7438
3600.000000	78.977	-177.9866
3650.000000	78.964	-178.2413
3700.000000	78.957	-178.5227
3750.000000	78.957	-178.8460
3820.000000	78.964	-179.3771
3870.000000	78.973	-179.8167
3950.000000	78.993	179.3545
4000.000000	79.008	178.7470
4060.000000	79.024	177.9177
4120.000000	79.036	176.9765
4180.000000	79.041	175.9262
4250.000000	79.034	174.5678
4310.000000	79.013	173.2968
4370.000000	78.977	171.9411
4440.000000	78.911	170.2738
4500.000000	78.831	168.7895
4550.000000	78.748	167.5303
4620.000000	78.605	165.7641
4680.000000	78.459	164.2731
4750.000000	78.261	162.5904
4820.000000	78.034	161.0027
4870.000000	77.858	159.9453
4940.000000	77.592	158.5952
5000.000000	77.350	157.5719
5080.000000	77.013	156.4096
5150.000000	76.709	155.5886
5220.000000	76.400	154.9551
5300.000000	76.047	154.4621
5380.000000	75.697	154.2116
5450.000000	75.399	154.1806
5520.000000	75.111	154.3135
5600.000000	74.796	154.6541
5700.000000	74.432	155.3450
5800.000000	74.102	156.3013
5900.000000	73.813	157.4827
6000.000000	73.565	158.8538
6080.000000	73.399	160.0687
6150.000000	73.279	161.2023
6220.000000	73.183	162.3882
6300.000000	73.102	163.7911
6400.000000	73.046	165.5905
6500.000000	73.042	167.4084
6600.000000	73.093	169.2113
6700.000000	73.200	170.9573
6800.000000	73.366	172.5914
6900.000000	73.592	174.0475
7000.000000	73.880	175.2452
7100.000000	74.228	176.0862
7200.000000	74.633	176.4510
7300.000000	75.085	176.2051
7400.000000	75.562	175.2159
7500.000000	76.039	173.3758
7620.000000	76.557	169.9718
7750.000000	76.973	164.8874
7880.000000	77.152	158.6987
8000.000000	77.056	152.5401
8120.000000	76.699	146.5482
8250.000000	76.052	140.8561
8380.000000	75.204	136.4408
8500.000000	74.317	133.6609
8620.000000	73.392	132.0966
8750.000000	72.401	131.6102
8850.000000	71.672	131.9469
9000.000000	70.656	133.3560
9120.000000	69.920	135.0724
9250.000000	69.202	137.3528
9380.000000	68.566	139.9413
9500.000000	68.048	142.5114
9620.000000	67.591	145.1883
9750.000000	67.160	148.1591
9880.000000	66.788	151.1666
10000.000000	66.495	153.9460
10150.000000	66.192	157.3878
10300.000000	65.953	160.7573
10440.000000	65.784	163.7983
10600.000000	65.647	167.0950
10750.000000	65.564	169.9709
10900.000000	65.515	172.6112
11060.000000	65.489	175.1490
11200.000000	65.478	177.1396
11380.000000	65.465	179.4293
11500.000000	65.449	-179.1782
11720.000000	65.396	-176.8103
11800.000000	65.368	-175.9779
12060.000000	65.249	-173.2091
12200.000000	65.180	-171.6121
12410.000000	65.097	-169.0432
12500.000000	65.078	-167.8969
12650.000000	65.079	-165.9929
12800.000000	65.127	-164.2163
13150.000000	65.382	-161.4608
13200.000000	65.426	-161.2906
13400.000000	65.575	-161.1949
13600.000000	65.647	-161.8588
13800.000000	65.609	-162.9332
14000.000000	65.459	-164.0331
14300.000000	65.085	-165.0566
