* Measurement data measured by REW V5.20.13
* Source: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 28.06.2023 14:22:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ej07 r
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
825.000000	109.628	26.4963
838.000000	109.694	27.0381
850.000000	109.758	27.5322
862.000000	109.824	28.0223
875.000000	109.897	28.5446
885.000000	109.956	28.9334
900.000000	110.048	29.4948
912.000000	110.125	29.9297
925.000000	110.213	30.3872
938.000000	110.303	30.8278
950.000000	110.389	31.2169
962.000000	110.477	31.5883
975.000000	110.573	31.9737
988.000000	110.672	32.3372
1000.000000	110.766	32.6422
1015.000000	110.887	32.9752
1030.000000	111.010	33.2671
1044.000000	111.125	33.5107
1060.000000	111.256	33.7545
1075.000000	111.378	33.9455
1090.000000	111.500	34.0971
1106.000000	111.631	34.2179
1120.000000	111.743	34.2923
1138.000000	111.884	34.3494
1150.000000	111.976	34.3651
1172.000000	112.141	34.3487
1180.000000	112.199	34.3297
1206.000000	112.385	34.2271
1220.000000	112.481	34.1489
1241.000000	112.622	34.0040
1250.000000	112.680	33.9327
1265.000000	112.774	33.8037
1280.000000	112.866	33.6647
1315.000000	113.069	33.3150
1320.000000	113.097	33.2632
1340.000000	113.205	33.0530
1360.000000	113.309	32.8370
1380.000000	113.411	32.6130
1400.000000	113.509	32.3835
1430.000000	113.652	32.0333
1450.000000	113.743	31.7981
1475.000000	113.854	31.5061
1500.000000	113.963	31.2175
1525.000000	114.069	30.9315
1550.000000	114.173	30.6450
1575.000000	114.274	30.3548
1600.000000	114.374	30.0597
1625.000000	114.473	29.7587
1650.000000	114.572	29.4542
1675.000000	114.670	29.1477
1700.000000	114.768	28.8354
1725.000000	114.865	28.5128
1750.000000	114.961	28.1797
1775.000000	115.057	27.8403
