* Measurement data measured by REW V5.30 beta 4
* Source: Mikrofon (US-2x2 HR), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 12.12.2023 20:11:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rickdiculous Bass Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
5450.000000	71.953	123.5206
5520.000000	71.171	122.4548
5600.000000	70.241	122.3645
5700.000000	69.098	123.9160
5800.000000	68.051	127.0934
5900.000000	67.160	131.5378
6000.000000	66.453	136.8653
6080.000000	66.029	141.5240
6150.000000	65.761	145.7506
6220.000000	65.587	150.0125
6300.000000	65.496	154.7944
6400.000000	65.521	160.4451
6500.000000	65.665	165.6243
6600.000000	65.898	170.3782
6700.000000	66.210	174.7920
6800.000000	66.607	178.8909
6900.000000	67.093	-177.3753
7000.000000	67.673	-174.1240
7100.000000	68.345	-171.5307
7200.000000	69.093	-169.8004
7300.000000	69.889	-169.1426
7400.000000	70.685	-169.7211
7500.000000	71.422	-171.5836
7620.000000	72.136	-175.3192
7750.000000	72.607	179.4425
7880.000000	72.729	173.9838
8000.000000	72.580	169.6124
8120.000000	72.276	166.3588
8250.000000	71.897	164.1246
8380.000000	71.557	162.8250
8500.000000	71.305	161.9573
8620.000000	71.089	161.0574
8750.000000	70.848	159.9035
8850.000000	70.632	158.9374
9000.000000	70.235	157.5871
9120.000000	69.857	156.7818
9250.000000	69.402	156.3247
9380.000000	68.918	156.3849
9500.000000	68.467	156.9343
9620.000000	68.033	157.9466
9750.000000	67.604	159.4990
9880.000000	67.235	161.4053
10000.000000	66.955	163.3554
10150.000000	66.693	165.8688
10300.000000	66.523	168.2367
10440.000000	66.431	170.0994
10600.000000	66.359	171.6286
10750.000000	66.264	172.5249
10900.000000	66.103	173.2668
11060.000000	65.881	174.3613
11200.000000	65.703	175.5966
11380.000000	65.540	177.0487
11500.000000	65.454	177.6431
11720.000000	65.246	177.7096
11800.000000	65.129	177.4582
12060.000000	64.520	176.1963
12200.000000	64.032	175.5562
12410.000000	63.089	175.1589
12500.000000	62.612	175.3201
12650.000000	61.731	176.1819
12800.000000	60.753	177.9654
13150.000000	58.228	-172.2635
13200.000000	57.869	-169.9319
13400.000000	56.633	-157.4905
13600.000000	56.040	-141.4149
13800.000000	56.261	-126.6910
14000.000000	56.962	-116.7278
14300.000000	58.106	-108.5910
14500.000000	58.770	-105.2480
14750.000000	59.561	-101.9485
15000.000000	60.428	-99.6256
15250.000000	61.408	-99.1529
15500.000000	62.378	-101.5013
15750.000000	63.094	-106.8690
16000.000000	63.329	-114.2544
16250.000000	62.998	-121.9463
16500.000000	62.164	-128.4443
16750.000000	60.958	-132.8163
17000.000000	59.531	-134.6189
17250.000000	58.037	-133.8203
17500.000000	56.633	-130.7939
17750.000000	55.469	-126.3583
18000.000000	54.673	-121.7135
18250.000000	54.335	-118.2692
18500.000000	54.495	-117.4937
18750.000000	55.097	-120.6572
19000.000000	55.966	-128.4404
19250.000000	56.861	-140.4440
19500.000000	57.567	-154.5939
19750.000000	57.981	-166.7180
